op_slug,agency_slug
operation-endgame,canada-rcmp
operation-endgame,denmark-police
operation-endgame,eurojust
operation-endgame,europol-ec3
operation-endgame,fbi-cyber-division
operation-endgame,france-gendarmerie
operation-endgame,france-junalco
operation-endgame,france-national-police
operation-endgame,germany-bka
operation-endgame,germany-frankfurt-prosecutor
operation-endgame,germany-lka
operation-endgame,lithuania-police
operation-endgame,netherlands-politie
operation-endgame,portugal-police
operation-endgame,romania-police
operation-endgame,switzerland-fedpol
operation-endgame,uk-nca
operation-endgame,ukraine-police
operation-endgame,us-dcis
operation-endgame,us-doj
operation-endgame,us-secret-service
operation-endgame-phase1,armenia-police
operation-endgame-phase1,bulgaria-police
operation-endgame-phase1,denmark-police
operation-endgame-phase1,eurojust
operation-endgame-phase1,europol-ec3
operation-endgame-phase1,fbi-cyber-division
operation-endgame-phase1,france-national-police
operation-endgame-phase1,germany-bka
operation-endgame-phase1,lithuania-police
operation-endgame-phase1,netherlands-politie
operation-endgame-phase1,portugal-police
operation-endgame-phase1,romania-police
operation-endgame-phase1,switzerland-fedpol
operation-endgame-phase1,uk-nca
operation-endgame-phase1,ukraine-police
operation-endgame-phase2,canada-rcmp
operation-endgame-phase2,denmark-police
operation-endgame-phase2,eurojust
operation-endgame-phase2,europol-ec3
operation-endgame-phase2,fbi-cyber-division
operation-endgame-phase2,france-gendarmerie
operation-endgame-phase2,france-junalco
operation-endgame-phase2,france-national-police
operation-endgame-phase2,germany-bka
operation-endgame-phase2,germany-frankfurt-prosecutor
operation-endgame-phase2,netherlands-politie
operation-endgame-phase2,uk-nca
operation-endgame-phase2,us-dcis
operation-endgame-phase2,us-doj
operation-endgame-phase2,us-secret-service
operation-eur-100m-crypto-investment-fraud-2025,eurojust
operation-eur-100m-crypto-investment-fraud-2025,europol-ec3
operation-eur-100m-crypto-investment-fraud-2025,spain-national-police
operation-eur-100m-illegal-financial-service-laundering-2025,eurojust
operation-eur-100m-illegal-financial-service-laundering-2025,europol-ec3
operation-eur-100m-illegal-financial-service-laundering-2025,spain-guardia-civil
operation-eur-300m-global-credit-card-fraud-2025,eurojust
operation-eur-300m-global-credit-card-fraud-2025,europol-ec3
operation-eur-300m-global-credit-card-fraud-2025,uk-nca
operation-eur-3m-online-investment-fraud-2025,eurojust
operation-eur-3m-online-investment-fraud-2025,europol-ec3
operation-eur-3m-online-investment-fraud-2025,uk-nca
operation-goldfish-alpha-night-fury,interpol
operation-goldfish-alpha-night-fury,interpol-asean-desk
operation-haechi-iii,interpol
operation-haechi-iii,knpa
operation-haechi-iv,interpol
operation-haechi-iv,knpa-cyber-bureau
operation-haechi-vi,interpol
operation-haechi-vi,knpa-cyber-bureau
operation-heart-blocker,fbi-cyber-division
operation-heart-blocker,netherlands-politie
operation-heart-blocker,pakistan-fia
operation-heart-blocker,us-doj
operation-killer-bee,interpol
operation-killer-bee,interpol-asean-desk
operation-killer-bee,nigerian-efcc
operation-killer-bee,trend-micro
operation-kraken-ghost-platform,australia-afp
operation-kraken-ghost-platform,canada-rcmp
operation-kraken-ghost-platform,europol-ec3
operation-kraken-ghost-platform,fbi-cyber-division
operation-kraken-ghost-platform,france-gendarmerie
operation-kraken-ghost-platform,ireland-garda
operation-kraken-ghost-platform,italy-dcsa
operation-kraken-ghost-platform,netherlands-politie
operation-kraken-ghost-platform,sweden-police
operation-onymous,eurojust
operation-onymous,europol-ec3
operation-onymous,fbi-cyber-division
operation-onymous,us-dhs
operation-orion-international,interpol
operation-orion-international,unodc
operation-pleiades,europol-ec3
operation-pleiades,fbi-cyber-division
operation-pleiades,interpol
operation-pleiades,j-cat
operation-pleiades,london-metropolitan-police
operation-pleiades,us-secret-service
operation-power-off,australia-afp
operation-power-off,canada-rcmp
operation-power-off,europol-ec3
operation-power-off,fbi-cyber-division
operation-power-off,germany-bka
operation-power-off,japan-npa
operation-power-off,netherlands-politie
operation-power-off,uk-nca
operation-power-off,us-doj
operation-red-card,afripol
operation-red-card,interpol
operation-rewired,fbi-cyber-division
operation-rewired,ic3
operation-rewired,us-dhs
operation-rewired,us-doj
operation-rewired,us-secret-service
operation-secreto,eurojust
operation-secreto,europol-ec3
operation-secreto,spanish-national-police
operation-secreto,us-doj
operation-secreto,us-secret-service
operation-sentinel-africa,afripol
operation-sentinel-africa,interpol
operation-source,dutch-nhtcu
operation-source,europol-ec3
operation-source,fbi-cyber-division
operation-source,intel-security
operation-source,j-cat
operation-source,kaspersky-lab
operation-source,shadowserver
operation-stream-kidflix,europol-ec3
operation-stream-kidflix,germany-bka
operation-stream-kidflix,netherlands-politie
operation-talent,europol-ec3
operation-talent,fbi-cyber-division
operation-talent,germany-bka
operation-talent,us-doj
operation-trojan-shield,australia-afp
operation-trojan-shield,europol-ec3
operation-trojan-shield,fbi-cyber-division
operation-trojan-shield,netherlands-politie
operation-trojan-shield,sweden-police
operation-wirewire,fbi-cyber-division
operation-wirewire,us-dhs
operation-wirewire,us-doj
operation-wirewire,us-postal-inspection
operation-wirewire,us-treasury
phobos-8base-crackdown,eurojust
phobos-8base-crackdown,europol-ec3
phobos-8base-crackdown,fbi-cyber-division
phobos-8base-crackdown,germany-bka
phobos-8base-crackdown,japan-npa
phobos-8base-crackdown,spain-guardia-civil
phobos-8base-crackdown,uk-nca
proxy-service-takedown-2026-03,eurojust
proxy-service-takedown-2026-03,europol-ec3
qqaazz-money-laundering-takedown,europol-ec3
qqaazz-money-laundering-takedown,fbi-cyber-division
ramnit-botnet-takedown,eurojust
ramnit-botnet-takedown,europol-ec3
ramnit-botnet-takedown,uk-nca
rex-mundi-takedown,europol-ec3
rex-mundi-takedown,french-high-tech-crime-unit
rex-mundi-takedown,j-cat
rex-mundi-takedown,london-metropolitan-police
rex-mundi-takedown,thai-royal-police
rydox-marketplace-takedown,fbi-cyber-division
rydox-marketplace-takedown,us-doj
silk-road-takedown,fbi-cyber-division
silk-road-takedown,us-doj
simda-botnet-takedown,dutch-nhtcu
simda-botnet-takedown,fbi-cyber-division
simda-botnet-takedown,interpol
simda-botnet-takedown,kaspersky-lab
simda-botnet-takedown,microsoft
simda-botnet-takedown,russian-ministry-of-interior
simda-botnet-takedown,trend-micro
trickbot-operations,fbi-cyber-division
trickbot-operations,us-doj
trickbot-operations,us-secret-service
vpnlab-takedown,canada-rcmp
vpnlab-takedown,czechia-police
vpnlab-takedown,eurojust
vpnlab-takedown,europol-ec3
vpnlab-takedown,fbi-cyber-division
vpnlab-takedown,france-national-police
vpnlab-takedown,germany-lka
vpnlab-takedown,latvia-state-police
vpnlab-takedown,netherlands-politie
vpnlab-takedown,uk-nca
vpnlab-takedown,ukraine-police
xdedic-marketplace-takedown,europol-ec3
xdedic-marketplace-takedown,fbi-cyber-division
zeus-spyeye-jit-takedown,eurojust
zeus-spyeye-jit-takedown,europol-ec3
