excel_sheet,excel_row,year,operation_name_raw,operation_name_canonical_candidate,source_url,source_url_normalized,matched_source_slug,matched_operation_slug,excel_agencies,excel_countries,excel_crime_types_detected,excel_crime_label_raw,wiki_agencies,wiki_countries,wiki_crime_types,review_status,review_note
sheet1_collect_urls,354,2024,(가칭)Operation Lusaka Scam,Operation Lusaka Scam,https://therecord.media/zambia-guilty-pleas-chinese-nationals-scam-call-center,https://therecord.media/zambia-guilty-pleas-chinese-nationals-scam-call-center,2024-06-05-therecord-zambia-golden-top-guilty-pleas,,"잠비아 마약단속위원회(DEC), 잠비아 경찰, 이민국, 반테러리즘 부서","잠비아, 중국, 카메룬, 싱가포르, 페루, 아랍에미리트, 아프리카 다수국(피해자 및 용의자 국적 포함)",malware-ic,"컴퓨터 관련 허위표시, 신분도용, 불법 네트워크 운영, 인터넷 사기, 온라인 사기, 자금세탁, 조직범죄",,,,url_matches_existing_source,existing source slug = 2024-06-05-therecord-zambia-golden-top-guilty-pleas
sheet1_collect_urls,383,2024,(가칭)Operation Nemesis Market,Operation Nemesis Market,https://therecord.media/nemesis-cybercrime-market-takedown-germany,https://therecord.media/nemesis-cybercrime-market-takedown-germany,the-record-911-s5-botnet-dismantling,,"독일 연방범죄청(BKA), 프랑크푸르트 사이버범죄특별수사팀(ZIT), 미국 연방수사국(FBI), 미국 마약단속국(DEA), 미국 국세청 범죄수사국(IRS-CI), 리투아니아 법집행기관","독일, 리투아니아, 미국","ransomware-ic, dark-web-ic, malware-ic","마약류 밀매, 불법 데이터 거래, 랜섬웨어, 피싱, DDoS공격, 신분도용, 조직범죄",,,,url_matches_existing_source,existing source slug = the-record-911-s5-botnet-dismantling
sheet1_collect_urls,422,2025,(가칭)Operation Lumma Cut,Operation Lumma Cut,https://techxplore.com/news/2025-05-global-malware-federal-court-georgia.html,https://techxplore.com/news/2025-05-global-malware-federal-court-georgia.html,techxplore-911-s5-botnet-dismantling,,"Microsoft, 미국 법무부(Department of Justice), FBI, Europol, 일본 사이버범죄 통제센터, Lumen, Cloudflare, Bitsight","미국, 유럽연합(특히 독일, 프랑스 등), 일본","ransomware-ic, malware-ic","정보유출 악성코드(Lumma Stealer) 유포, 피싱, 온라인 사기, 금융사기, 신분도용, 랜섬웨어",,,,url_matches_existing_source,existing source slug = techxplore-911-s5-botnet-dismantling
sheet1_collect_urls,464,2025,(가칭)Operation Phobos Lock,Operation Phobos Lock,https://www.cbsnews.com/news/justice-department-charges-russian-men-cybercrime-ransomware/,https://cbsnews.com/news/justice-department-charges-russian-men-cybercrime-ransomware,cbs-news-hive-ransomware-infrastructure-takedown,,"미국 법무부(Department of Justice), FBI, 유럽 및 독일 법집행기관","미국, 독일, 유럽연합(영국, 호주 등은 제재에만 참여)","ransomware-ic, dark-web-ic, malware-ic","사이버범죄(랜섬웨어 공격, 데이터 절도, 금전 갈취, 위조, 컴퓨터 무단 접근 및 손상, 신분 사칭 등)",,,,url_matches_existing_source,existing source slug = cbs-news-hive-ransomware-infrastructure-takedown
sheet2_extracted,129,2015,FIN7,FIN7,https://www.fbi.gov/contact-us/field-offices/seattle/news/stories/how-cyber-crime-group-fin7-attacked-and-stole-data-from-hundreds-of-us-companies,https://fbi.gov/contact-us/field-offices/seattle/news/stories/how-cyber-crime-group-fin7-attacked-and-stole-data-from-hundreds-of-us-companies,2018-01-01_fbi-gov_how-cyber-crime-group-fin7-attacked-and-stole-data-from-hundreds-of-us-companies,,"미국 FBI, 미국 법무부, 시애틀 연방지방법원, 우크라이나","미국, 우크라이나, 러시아, 영국, 프랑스, 호주","dark-web-ic, malware-ic","해킹, 신용카드도용, 컴퓨터사기, 조직범죄",,,,url_matches_existing_source,existing source slug = 2018-01-01_fbi-gov_how-cyber-crime-group-fin7-attacked-and-stole-data-from-hundreds-of-us-companies
sheet2_extracted,41,2015,Operation Pleiades,Operation Pleiades,https://www.europol.europa.eu/media-press/newsroom/news/international-action-against-dd4bc-cybercriminal-group,https://europol.europa.eu/media-press/newsroom/news/international-action-against-dd4bc-cybercriminal-group,2015-12-01_europol-europa-eu_international-action-against-dd4bc-cybercriminal-group,operation-pleiades,"Europol, Europol 유럽사이버범죄센터(EC3), Joint Cybercrime Action Taskforce (J-CAT), 영국 런던경찰청 사이버범죄수사대(MPCCU), 오스트리아, 독일, 보스니아 헤르체고비나, FBI, 미국 비밀경찰(US Secret Service), 오스트레일리아, 프랑스, 일본, 루마니아, 스위스, INTERPOL","영국, 오스트리아, 독일, 보스니아 헤르체고비나, 미국, 오스트레일리아, 프랑스, 일본, 루마니아, 스위스",malware-ic,"DDoS공격, 비트코인갈취, 사이버협박, 컴퓨터사기",,,,url_matches_existing_source,existing source slug = 2015-12-01_europol-europa-eu_international-action-against-dd4bc-cybercriminal-group
sheet2_extracted,31,2015,Operation Shrouded Horizon,Operation Shrouded Horizon,https://www.fbi.gov/news/stories/cyber-criminal-forum-taken-down,https://fbi.gov/news/stories/cyber-criminal-forum-taken-down,2015-07-15_fbi-gov_cyber-criminal-forum-taken-down,operation-shrouded-horizon,"FBI, 미국 법무부, Europol, 각국 경찰 및 수사기관(예: 영국, 스웨덴, 보스니아/헤르체고비나, 루마니아, 세르비아, 라트비아, 키프로스, 오스트레일리아, 나이지리아, 덴마크, 캐나다, 콜롬비아, 코스타리카, 크로아티아, 핀란드, 독일, 이스라엘, 마케도니아, 브라질)","미국, 영국, 스웨덴, 보스니아 헤르체고비나, 루마니아, 세르비아, 라트비아, 키프로스, 오스트레일리아, 나이지리아, 덴마크, 캐나다, 콜롬비아, 코스타리카, 크로아티아, 핀란드, 독일, 이스라엘, 마케도니아, 브라질",malware-ic,"악성코드유포, 봇넷운영, 개인정보탈취, 신용카드도용, 해킹",,,,url_matches_existing_source,existing source slug = 2015-07-15_fbi-gov_cyber-criminal-forum-taken-down
sheet2_extracted,30,2015,Operation Source,Operation Source,https://www.europol.europa.eu/media-press/newsroom/news/international-police-operation-targets-polymorphic-beebone-botnet,https://europol.europa.eu/media-press/newsroom/news/international-police-operation-targets-polymorphic-beebone-botnet,2015-04-01_europol-europa-eu_international-police-operation-targets-polymorphic-beebone-botnet,operation-source,"Europol, Europol 유럽사이버범죄센터(EC3), Joint Cybercrime Action Taskforce(J-CAT), 네덜란드 High Tech Crime Unit, FBI, Intel Security, Kaspersky Lab, Shadowserver","네덜란드, 미국, 유럽연합 회원국(독일, 프랑스, 이탈리아 등 대부분), 기타 지원국(보안기업 및 국제기관 협력 포함)","ransomware-ic, malware-ic","봇넷운영, 악성코드유포, 금융정보탈취, 랜섬웨어, 루트킷, 가짜백신",,,,url_matches_existing_source,existing source slug = 2015-04-01_europol-europa-eu_international-police-operation-targets-polymorphic-beebone-botnet
sheet2_extracted,33,2015,Simda 봇넷,Simda 봇넷,https://www.bbc.com/news/technology-32218381,https://bbc.com/news/technology-32218381,bbc-911-s5-botnet-dismantling,,"INTERPOL, 네덜란드 국가하이테크범죄수사대(Dutch National High Tech Crime Unit), FBI, 룩셈부르크 경찰, 러시아 내무부 사이버범죄국, 마이크로소프트 디지털범죄팀, Kaspersky Lab, Trend Micro, 일본 사이버방위연구소(Japan Cyber Defense Institute)","네덜란드, 미국, 러시아, 룩셈부르크, 일본, 폴란드, 싱가포르(작전 본부), 기타 190여 개국 감염 피해 발생",malware-ic,"봇넷운영, 악성코드유포, 개인정보탈취, 금융정보탈취",,,,url_matches_existing_source,existing source slug = bbc-911-s5-botnet-dismantling
sheet2_extracted,23,2015,(가칭)Operation Phishing Syndicate,Operation Phishing Syndicate,https://www.europol.europa.eu/media-press/newsroom/news/international-operation-dismantles-criminal-group-of-cyber-fraudsters,https://europol.europa.eu/media-press/newsroom/news/international-operation-dismantles-criminal-group-of-cyber-fraudsters,2015-06-01_europol-europa-eu_international-operation-dismantles-criminal-group-of-cyber-fraudsters,,"Europol, Eurojust, 이탈리아 경찰(Polizia di Stato), 스페인 국가경찰, 폴란드 경찰, 영국 법집행기관","이탈리아, 스페인, 폴란드, 영국, 벨기에, 조지아",malware-ic,"금융사기, 이메일계정해킹, 악성코드유포, 자금세탁",,,,url_matches_existing_source,existing source slug = 2015-06-01_europol-europa-eu_international-operation-dismantles-criminal-group-of-cyber-fraudsters
sheet2_extracted,47,2016,Operation Hyperion,Operation Hyperion,https://cyberscoop.com/dark-web-fbi-sting-zcash-operation-hyperion/,https://cyberscoop.com/dark-web-fbi-sting-zcash-operation-hyperion,2017-01-01_cyberscoop-com_dark-web-fbi-sting-zcash-operation-hyperion,operation-hyperion,"FBI, Five Eyes Law Enforcement Group (FELEG) 소속 기관(미국, 캐나다, 영국, 오스트레일리아, 뉴질랜드 경찰), 네덜란드 경찰, 스웨덴 경찰","미국, 캐나다, 영국, 오스트레일리아, 뉴질랜드, 네덜란드, 스웨덴","dark-web-ic, malware-ic","다크웹불법물품거래, 자금세탁, 마약유통",,,,url_matches_existing_source,existing source slug = 2017-01-01_cyberscoop-com_dark-web-fbi-sting-zcash-operation-hyperion
sheet2_extracted,99,2017,Andromeda Botnet Dismantling,Andromeda Botnet Dismantling,https://www.europol.europa.eu/media-press/newsroom/news/andromeda-botnet-dismantled-in-international-cyber-operation,https://europol.europa.eu/media-press/newsroom/news/andromeda-botnet-dismantled-in-international-cyber-operation,2017-12-04_europol-europa-eu_andromeda-botnet-dismantled-in-international-cyber-operation,andromeda-botnet-takedown,"FBI, 뤼네부르크 중앙형사수사국(독일), 유로폴 유럽사이버범죄센터(EC3), Joint Cybercrime Action Task Force(J-CAT), 유로저스트(Eurojust), 마이크로소프트 등 민간기업","미국, 독일, 오스트리아, 벨기에, 핀란드, 프랑스, 이탈리아, 네덜란드, 폴란드, 스페인, 영국, 호주, 벨라루스, 캐나다, 몬테네그로, 싱가포르, 대만",malware-ic,"악성코드유포, 봇넷운영, 범죄적인프라활용",,,,url_matches_existing_source,existing source slug = 2017-12-04_europol-europa-eu_andromeda-botnet-dismantled-in-international-cyber-operation
sheet2_extracted,103,2017,Bakovia,Bakovia,https://cyberscoop.com/ctb-locker-cerber-ransomware-arrests-europol-mcafee/,https://cyberscoop.com/ctb-locker-cerber-ransomware-arrests-europol-mcafee,2017-12-01_cyberscoop-com_ctb-locker-cerber-ransomware-arrests-europol-mcafee,operation-bakovia,"루마니아 경찰(서비스 포 컴뱃팅 사이버크라임), 네덜란드 하이테크 범죄 수사대(HTCC), 영국 국가범죄청(NCA), 미국 연방수사국(FBI), 미국 비밀경호국(US Secret Service), 유로폴(EC3, J-CAT), 맥아피(McAfee)","루마니아, 네덜란드, 영국, 미국",ransomware-ic,"해킹, 컴퓨터시스템방해, 사이버협박",,,,url_matches_existing_source,existing source slug = 2017-12-01_cyberscoop-com_ctb-locker-cerber-ransomware-arrests-europol-mcafee
sheet2_extracted,35,2017,Joint Investigation Team operation,Joint Investigation Team operation,https://www.europol.europa.eu/media-press/newsroom/news/major-cybercrime-ring-dismantled-joint-investigation-team,https://europol.europa.eu/media-press/newsroom/news/major-cybercrime-ring-dismantled-joint-investigation-team,2015-06-01_europol-europa-eu_major-cybercrime-ring-dismantled-by-joint-investigation-team,,"Europol, Eurojust, 오스트리아 법집행기관, 벨기에 법집행기관, 우크라이나 법집행기관","오스트리아, 벨기에, 우크라이나, 유럽연합",malware-ic,"악성코드유포, 금융기관해킹, 자금세탁, 범죄수익은닉",,,,url_matches_existing_source,existing source slug = 2015-06-01_europol-europa-eu_major-cybercrime-ring-dismantled-by-joint-investigation-team
sheet2_extracted,88,2017,(가칭)Operation ASEAN Sweep,Operation ASEAN Sweep,https://www.freemalaysiatoday.com/category/nation/2017/04/24/interpol-finds-9000-compromised-websites,https://freemalaysiatoday.com/category/nation/2017/04/24/interpol-finds-9000-compromised-websites,2017-04-24_freemalaysiatoday-com_interpol-finds-9000-compromised-websites,,"Interpol, Trend Micro, Kaspersky Lab, Cyber Defense Institute, Booz Allen Hamilton, British Telecom, Fortinet, Palo Alto Networks, 인도네시아, 말레이시아, 미얀마, 필리핀, 싱가포르, 태국, 베트남 등 각국 경찰 및 사이버수사기관, 중국(정보 제공)","인도네시아, 말레이시아, 미얀마, 필리핀, 싱가포르, 태국, 베트남, 중국(정보 제공)","ransomware-ic, malware-ic","해킹, 악성코드유포, 랜섬웨어, DDoS공격, 스팸유포, 불법데이터유출, 컴퓨터사기, 피싱",,,,url_matches_existing_source,existing source slug = 2017-04-24_freemalaysiatoday-com_interpol-finds-9000-compromised-websites
sheet2_extracted,127,2018,Operation WireWire,Operation WireWire,https://www.fbi.gov/news/stories/international-bec-takedown-061118,https://fbi.gov/news/stories/international-bec-takedown-061118,2018-06-11_fbi-gov_international-bec-takedown,operation-wirewire,"미국 법무부, FBI, 미국 국토안보부, 미국 재무부, 미국 우편검찰청, 각국 법집행기관","미국, 나이지리아, 캐나다, 모리셔스, 폴란드",malware-ic,"비즈니스이메일사기(BEC), 이메일계정침해, 컴퓨터사기, 금융사기, 자금세탁",,,,url_matches_existing_source,existing source slug = 2018-06-11_fbi-gov_international-bec-takedown
sheet2_extracted,121,2018,(가칭)Operation CardStorm,Operation CardStorm,https://www.bbc.com/news/uk-43893420,https://bbc.com/news/uk-43893420,bbc-banking-trojan-fraud-sentencing,,"영국 국가범죄수사국(National Crime Agency), FBI, 유럽 법집행기관","영국, 미국, 유럽(독일, 프랑스 등)",malware-ic,"신용카드정보도난및유통, 자금세탁, 컴퓨터사기, 범죄조직운영",,,,url_matches_existing_source,existing source slug = bbc-banking-trojan-fraud-sentencing
sheet2_extracted,122,2018,(가칭)Operation Carbanak,Operation Carbanak,https://www.europol.europa.eu/media-press/newsroom/news/mastermind-behind-eur-1-billion-cyber-bank-robbery-arrested-in-spain,https://europol.europa.eu/media-press/newsroom/news/mastermind-behind-eur-1-billion-cyber-bank-robbery-arrested-in-spain,2018-03-01_europol-europa-eu_mastermind-behind-eur-1-billion-cyber-bank-robbery-arrested-in-spain,,"스페인 국가경찰(Spanish National Police), Europol, FBI, 루마니아 경찰, 벨라루스 경찰, 대만(중화민국) 관련 기관, 민간 사이버보안 기업(카스퍼스키 등)","스페인, 미국, 루마니아, 벨라루스, 대만(중화민국)",malware-ic,"금융기관해킹, 악성코드유포, 신용카드및은행계좌정보도난, 사기, 자금세탁, 범죄조직운영",,,,url_matches_existing_source,existing source slug = 2018-03-01_europol-europa-eu_mastermind-behind-eur-1-billion-cyber-bank-robbery-arrested-in-spain
sheet2_extracted,134,2018,(가칭)Operation Infraud,Operation Infraud,https://www.voanews.com/a/thais-arrest-alleged-russian-cybercrime-market-operator/4246130.html,https://voanews.com/a/thais-arrest-alleged-russian-cybercrime-market-operator/4246130.html,2018-02-07_voanews-com_4246130,,"미국 법무부, 미국 국토안보부, 태국 경찰, 프랑스 법집행기관, 영국 법집행기관, 이탈리아 법집행기관, 호주 법집행기관, 코소보 법집행기관, 세르비아 법집행기관","미국, 태국, 프랑스, 영국, 이탈리아, 호주, 코소보, 세르비아",malware-ic,"신용카드·데빗카드·은행계좌 정보 도난 및 유통, 불법 하드웨어 유통, 악성코드유포, 컴퓨터사기, 범죄조직운영",,,,url_matches_existing_source,existing source slug = 2018-02-07_voanews-com_4246130
sheet2_extracted,135,2018,(가칭)Operation RexMundi,Operation RexMundi,https://www.europol.europa.eu/media-press/newsroom/news/french-coder-who-helped-extort-british-company-arrested-in-thailand,https://europol.europa.eu/media-press/newsroom/news/french-coder-who-helped-extort-british-company-arrested-in-thailand,2018-05-18_europol-europa-eu_french-coder-who-helped-extort-british-company-arrested-in-thailand,,"영국 런던 경찰(Metropolitan Police), 프랑스 국가경찰(High Tech Crime Unit), 태국 왕립경찰, Europol, J-CAT(유럽합동사이버범죄특별팀)","영국, 프랑스, 태국",malware-ic,"사이버협박, 데이터유출, 불법침입, 신용카드정보도난, 범죄조직운영",,,,url_matches_existing_source,existing source slug = 2018-05-18_europol-europa-eu_french-coder-who-helped-extort-british-company-arrested-in-thailand
sheet2_extracted,158,2019,IM RAT 단속,IM RAT 단속,https://thehackernews.com/2019/11/europol-imminent-monitor-rat.html,https://thehackernews.com/2019/11/europol-imminent-monitor-rat.html,2019-11-29_thehackernews-com_europol-imminent-monitor-rat,,"Europol, Australian Federal Police(AFP), 영국 국립범죄수사국(NCA), 벨기에 경찰, 콜롬비아 경찰, 체코 경찰, 네덜란드 경찰, 폴란드 경찰, 스페인 경찰, 스웨덴 경찰","호주, 벨기에, 콜롬비아, 체코, 네덜란드, 폴란드, 스페인, 스웨덴, 영국",malware-ic,"악성코드(Imminent Monitor RAT) 유포, 불법 원격 접근, 해킹, 데이터 유출, 키로깅, 웹캠 불법 접근, 개인정보 도용, 사기, 절도, 보이어리즘",,,,url_matches_existing_source,existing source slug = 2019-11-29_thehackernews-com_europol-imminent-monitor-rat
sheet2_extracted,179,2019,Operation NightFury,Operation NightFury,https://cyberscoop.com/magecart-arrest-indonesia-interpol-getbilling/,https://cyberscoop.com/magecart-arrest-indonesia-interpol-getbilling,2020-01-24_cyberscoop-com_magecart-arrest-indonesia-interpol-getbilling,operation-nightfury,"INTERPOL, 인도네시아 경찰(Indonesian National Police, Bareskrim Polri), Group-IB, Sanguine Security","인도네시아, 싱가포르(Group-IB 본사), 오스트레일리아, 유럽, 미국, 남미 등(피해 및 인프라 분포 국가)",malware-ic,"Magecart(웹 스키밍) 공격, 결제 및 개인정보 탈취, 신용카드 사기, 신분 도용, 불법 자금 이체, 명령제어서버 운영",,,,url_matches_existing_source,existing source slug = 2020-01-24_cyberscoop-com_magecart-arrest-indonesia-interpol-getbilling
sheet2_extracted,157,2019,Operation Rewired,Operation Rewired,https://techxplore.com/news/2019-09-fbi-nigeria-step-up-cyber-crime.html#google_vignette,https://techxplore.com/news/2019-09-fbi-nigeria-step-up-cyber-crime.html,techxplore-operation-avalanche,operation-rewired,"FBI, Nigeria Economic and Financial Crimes Commission (EFCC), 각국 법집행기관","미국, 나이지리아, 터키, 가나, 프랑스, 이탈리아, 일본, 케냐, 말레이시아, 영국",malware-ic,"비즈니스 이메일 사기(BEC), 온라인 사기, 신용카드 사기, 피싱, 컴퓨터 관련 사기, 신원 도용",,,,url_matches_existing_source,existing source slug = techxplore-operation-avalanche
sheet2_extracted,186,2020,Carding Action 2020,Carding Action 2020,https://hackread.com/authorities-disrupt-dark-web-credit-card-trading-scam/,https://hackread.com/authorities-disrupt-dark-web-credit-card-trading-scam,hackread-global-airport-action-day,carding-action-2020,"Europol, Group-IB, 이탈리아 경찰, 헝가리 경찰, 영국 Dedicated Card and Payment Crime Unit(DCPCU)","이탈리아, 헝가리, 영국",dark-web-ic,"신용카드 정보 도난, 다크웹에서의 신용카드 정보 거래, 신분 도용, 사기, 불법 자금 이체",,,,url_matches_existing_source,existing source slug = hackread-global-airport-action-day
